Date,Day,Day,Period,Location,Approx Time,People in Room,Obstructions,Comments
2021/1/15,Fri,d21,p02,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2021/1/15,Fri,d21,p03,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2021/1/15,Fri,d21,p04,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/1/15,Fri,d21,p05,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/1/15,Fri,d21,p06,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,
2021/1/15,Fri,d21,p07,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/1/19,Tue,d22,p01,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2021/1/19,Tue,d22,p02,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/1/19,Tue,d22,p03,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/1/19,Tue,d22,p04,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,
2021/1/19,Tue,d22,p05,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/1/20,Wed,d23,p01,l01 to l08,5:30-6:00pm,"1 on Table 1, 1 near Table 1",Closed door,
2021/1/20,Wed,d23,p02,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,
2021/1/20,Wed,d23,p03,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/1/20,Wed,d23,p04,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,
2021/1/26,Tue,d24,p01,l01 to l08,3:00-3:30pm,1 on Table 1,Closed door,
2021/1/26,Tue,d24,p02,l01 to l08,3:30-4:00pm,1 on Table 1,Closed door,
2021/1/26,Tue,d24,p03,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2021/1/26,Tue,d24,p04,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,Antennas on mount slightly tilted to arbitrary degree
2021/1/26,Tue,d24,p05,l01 to l08,5:00-5:30pm,2 on Tables 1 and 3,Closed door,
2021/1/26,Tue,d24,p06,l01 to l08,5:30-6:00pm,2 on Tables 1 and 3,Closed door,Antennas on mount slightly tilted to arbitrary degree
2021/1/26,Tue,d24,p07,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p01,l01 to l08,3:00-3:30pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p02,l01 to l08,3:30-4:00pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p03,l01 to l08,4:00-4:30pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p04,l01 to l08,4:30-5:00pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p05,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/3/15,Mon,d25,p06,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/3/19,Fri,d26,p01,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,
2021/3/19,Fri,d26,p02,l01 to l08,8:00-8:30pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p01,l01 to l08,5:00-5:30pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p02,l01 to l08,5:30-6:00pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p03,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p04,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p05,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,
2021/4/2,Fri,d27,p06,l01 to l08,7:30-8:00pm,1 on Table 1,Closed door,
2021/4/8,Thu,d28,p01,l01 to l08,6:00-6:30pm,1 on Table 1,Closed door,
2021/4/8,Thu,d28,p02,l01 to l08,6:30-7:00pm,1 on Table 1,Closed door,
2021/4/8,Thu,d28,p03,l01 to l08,7:00-7:30pm,1 on Table 1,Closed door,
2021/4/8,Thu,d28,p04,l01 to l08,7:30-8:00pm,1 on Table 1,Closed door,
-,-,-,-,-,-,-,-,End of location-specific data
-,-,-,-,-,-,-,-,Succeeding data are background data.
2020/10/19,Mon,d98,p01,bg,4:30-4:45pm,1 on Table 1,Closed door,On top of box
2020/10/19,Mon,d98,p02,bg,4:45-5:00pm,1 on Table 1,Closed door,Near loc01
